tier,boss_id,boss,job,buff_given,buff_icon,rank,player,dps_value,region,server,is_own_ranked_log,duration_sec,party_comp_others,report_code,fight_id
cruiserweight,97,Dancing_Green,Ninja,Dokumori,212000-212920.png,1,时祁,3784.9932991408796,CN,,False,509.239,"Astrologian,Bard,DarkKnight,DarkKnight,Pictomancer,Samurai,Scholar",QLWCaFghkjrwGn19,1
cruiserweight,97,Dancing_Green,Ninja,Dokumori,212000-212920.png,2,Anzuca Kawanami,3740.476810614964,JP,,False,507.394,"Astrologian,Bard,DarkKnight,DarkKnight,Pictomancer,Samurai,Scholar",hAcCR7VMmjWdPr6J,5
cruiserweight,97,Dancing_Green,Ninja,Dokumori,212000-212920.png,3,Karaage Mastuba,3731.1013751639834,JP,,False,508.575,"Astrologian,Bard,DarkKnight,DarkKnight,Pictomancer,Samurai,Scholar",wnJaWt7XbQYGp16D,4
cruiserweight,97,Dancing_Green,Ninja,Dokumori,212000-212920.png,4,Karaage Mastuba,3729.037367421082,JP,,False,506.4,"Astrologian,Bard,DarkKnight,DarkKnight,Pictomancer,Samurai,Scholar",vYy7XcZKpk3RgQPT,4
cruiserweight,97,Dancing_Green,Ninja,Dokumori,212000-212920.png,5,길동,3726.656406401296,KR,,False,511.934,"Astrologian,Dancer,DarkKnight,DarkKnight,LimitBreak,Pictomancer,Samurai,Scholar",t2a4yRbWfLdmgABC,5
cruiserweight,97,Dancing_Green,Ninja,Dokumori,212000-212920.png,6,Karaage Mastuba,3725.3902794263977,JP,,False,505.521,"Astrologian,Bard,DarkKnight,DarkKnight,Pictomancer,Samurai,Scholar",7GPCHnp9hZT1dybL,9
cruiserweight,97,Dancing_Green,Ninja,Dokumori,212000-212920.png,7,紙切,3722.071966969978,CN,琥珀原,True,509.545,"Astrologian,Bard,DarkKnight,DarkKnight,Pictomancer,Samurai,Scholar",gc2VMyhNB41H9L8W,3
cruiserweight,97,Dancing_Green,Ninja,Dokumori,212000-212920.png,8,Roku Sweet,3721.0024598411815,JP,,False,510.573,"Astrologian,Dancer,DarkKnight,DarkKnight,Pictomancer,Samurai,Scholar",MHvr6jCtGmxVTn1Q,42
cruiserweight,97,Dancing_Green,Ninja,Dokumori,212000-212920.png,9,Karaage Mastuba,3711.239567239548,JP,,False,506.267,"Astrologian,Bard,DarkKnight,DarkKnight,Pictomancer,Samurai,Scholar",Nk4McgHWQbYVFPLA,16
cruiserweight,97,Dancing_Green,Ninja,Dokumori,212000-212920.png,10,Player (6),3710.06507625283,,,False,506.109,"Astrologian,Bard,DarkKnight,DarkKnight,Pictomancer,Samurai,Scholar",a:G3PXnTg2cvzpYM9q,6
cruiserweight,97,Dancing_Green,Ninja,Dokumori,212000-212920.png,11,Player (7),3704.3772749485483,,,False,507.941,"Astrologian,Bard,DarkKnight,DarkKnight,Pictomancer,Samurai,Scholar",a:MkH4dXfmVpYyCD7b,1
