tier,boss_id,boss,job,buff_given,buff_icon,rank,player,dps_value,region,server,is_own_ranked_log,duration_sec,party_comp_others,report_code,fight_id
heavyweight,101,Vamp_Fatale,Astrologian,Divination,213000-213245.png,1,洛薇雅,6080.421059459969,CN,神拳痕,True,506.621,"Bard,DarkKnight,DarkKnight,LimitBreak,Pictomancer,Samurai,Samurai,Scholar",xzRYMpqhPFAV423r,30
heavyweight,101,Vamp_Fatale,Astrologian,Divination,213000-213245.png,2,Belulu Lulu,6066.535871148304,JP,,False,506.747,"Bard,DarkKnight,DarkKnight,LimitBreak,Pictomancer,Samurai,Samurai,Scholar",txb97FVHyTRN4BkW,3
heavyweight,101,Vamp_Fatale,Astrologian,Divination,213000-213245.png,3,Neko,6050.192559506278,CN,,False,506.058,"Bard,DarkKnight,DarkKnight,LimitBreak,Pictomancer,Samurai,Samurai,Scholar",QqBHxdc82J7jKVMr,1
heavyweight,101,Vamp_Fatale,Astrologian,Divination,213000-213245.png,4,宫铃雾,6039.135446896291,CN,,False,506.775,"Bard,DarkKnight,DarkKnight,LimitBreak,Pictomancer,Samurai,Samurai,Scholar",wjcyBHVz9LMY12qJ,3
heavyweight,101,Vamp_Fatale,Astrologian,Divination,213000-213245.png,5,宫铃雾,6038.476909903173,CN,,False,508.324,"Bard,DarkKnight,DarkKnight,LimitBreak,Pictomancer,Samurai,Samurai,Scholar",J4fBbw1HMgYVC8vy,51
heavyweight,101,Vamp_Fatale,Astrologian,Divination,213000-213245.png,6,Player (2),6038.198414563813,,,False,511.23,"Bard,DarkKnight,DarkKnight,LimitBreak,Pictomancer,Samurai,Samurai,Scholar",a:VJZRQ6LhnbxGvzF3,36
heavyweight,101,Vamp_Fatale,Astrologian,Divination,213000-213245.png,7,洛薇雅,6029.056451389472,CN,,False,508.925,"Bard,DarkKnight,DarkKnight,LimitBreak,Pictomancer,Samurai,Samurai,Scholar",WNg4QK7rHGqVLFmw,14
heavyweight,101,Vamp_Fatale,Astrologian,Divination,213000-213245.png,8,贞贞子吖,6028.227436725486,CN,梦羽宝境,True,508.43,"Dancer,DarkKnight,DarkKnight,Pictomancer,Samurai,Samurai,Scholar",ZMDWJQKBdbLgNkmt,6
heavyweight,101,Vamp_Fatale,Astrologian,Divination,213000-213245.png,9,宫铃雾,6027.557547617371,CN,梦羽宝境,True,505.793,"Bard,DarkKnight,DarkKnight,LimitBreak,Pictomancer,Samurai,Samurai,Scholar",v34t1gCJ7qDjWhp2,15
heavyweight,101,Vamp_Fatale,Astrologian,Divination,213000-213245.png,10,Belulu Lulu,6025.235152152713,JP,,False,508.846,"Bard,DarkKnight,DarkKnight,LimitBreak,Pictomancer,Samurai,Samurai,Scholar",Cz82DPnRH1TgtvFV,47
heavyweight,101,Vamp_Fatale,Astrologian,Divination,213000-213245.png,11,呆噗,6010.90731749001,CN,拉诺西亚,True,510.604,"Dancer,DarkKnight,DarkKnight,LimitBreak,Pictomancer,Samurai,Samurai,Scholar",8xLgtyZPFYdj7akC,6
heavyweight,101,Vamp_Fatale,Astrologian,Divination,213000-213245.png,12,Player (5),6002.292525627736,,,False,510.697,"Bard,DarkKnight,DarkKnight,LimitBreak,Pictomancer,Samurai,Samurai,Scholar",a:Pg3FbTDZvwMWh46f,1
heavyweight,101,Vamp_Fatale,Astrologian,Divination,213000-213245.png,13,笙歌独欢,5987.900456115073,CN,,False,507.723,"Bard,DarkKnight,Paladin,Pictomancer,Samurai,Samurai,Scholar",X37GwDHhW9LyBxnm,18
heavyweight,101,Vamp_Fatale,Astrologian,Divination,213000-213245.png,14,Belulu Lulu,5987.248000655635,JP,,False,508.605,"Bard,DarkKnight,DarkKnight,LimitBreak,Pictomancer,Samurai,Samurai,Scholar",bFPQR1CHcrhf2Jnm,13
heavyweight,101,Vamp_Fatale,Astrologian,Divination,213000-213245.png,15,Man Mu,5986.056288659437,JP,Hades,True,507.539,"Bard,DarkKnight,DarkKnight,LimitBreak,Pictomancer,Samurai,Samurai,Scholar",ZAGFpzP81drjLxkt,32
heavyweight,101,Vamp_Fatale,Astrologian,Divination,213000-213245.png,16,洛薇雅,5979.513509416317,CN,,False,506.755,"Bard,DarkKnight,DarkKnight,LimitBreak,Pictomancer,Samurai,Samurai,Scholar",DxHRgq1wTt7AbZhp,26
heavyweight,101,Vamp_Fatale,Astrologian,Divination,213000-213245.png,17,Belulu Lulu,5971.798155819591,JP,,False,512.269,"Bard,DarkKnight,DarkKnight,LimitBreak,Pictomancer,Samurai,Samurai,Scholar",RNjvAym3pYKPMGzx,10
heavyweight,101,Vamp_Fatale,Astrologian,Divination,213000-213245.png,18,Komachi Chan,5964.709440646673,NA,,False,509.336,"Dancer,DarkKnight,DarkKnight,LimitBreak,Ninja,Pictomancer,Samurai,Scholar",aqWVgCXTJjn9h8xp,2
heavyweight,101,Vamp_Fatale,Astrologian,Divination,213000-213245.png,19,Lee Ah,5964.4212657712305,NA,,False,507.901,"Dancer,DarkKnight,DarkKnight,LimitBreak,Ninja,Pictomancer,Samurai,WhiteMage",Rhw32G46gtfx9Zac,5
