tier,boss_id,boss,job,buff_given,buff_icon,rank,player,dps_value,region,server,is_own_ranked_log,duration_sec,party_comp_others,report_code,fight_id
light_heavyweight,93,Black_Cat,Bard,Radiant Finale,212000-212624.png,1,Toni Quartz,3269.4198343725798,JP,,False,389.279,"Astrologian,DarkKnight,DarkKnight,Dragoon,LimitBreak,Ninja,Pictomancer,Scholar",zWjHtFg9Yva6J23w,5
light_heavyweight,93,Black_Cat,Bard,Radiant Finale,212000-212624.png,2,瘾梨,3260.000284479942,CN,,False,386.559,"Astrologian,DarkKnight,DarkKnight,LimitBreak,Ninja,Pictomancer,Samurai,Scholar",dHbknwMK1LzFjD7Y,1
light_heavyweight,93,Black_Cat,Bard,Radiant Finale,212000-212624.png,3,奈奈伊,3247.68640715931,CN,,False,388.225,"Astrologian,DarkKnight,DarkKnight,Dragoon,LimitBreak,Ninja,Pictomancer,Scholar",aJj2D9VXH78nt4Cv,1
light_heavyweight,93,Black_Cat,Bard,Radiant Finale,212000-212624.png,4,Legelly Xxx,3239.16342160811,JP,Belias,True,392.538,"Astrologian,DarkKnight,DarkKnight,LimitBreak,Ninja,Pictomancer,Samurai,Scholar",CpWAvJhwY2BnDymR,31
light_heavyweight,93,Black_Cat,Bard,Radiant Finale,212000-212624.png,5,Vivi Vi,3236.0470023485354,JP,,False,391.08,"Astrologian,DarkKnight,DarkKnight,Dragoon,LimitBreak,Ninja,Pictomancer,Scholar",KxAZzFkhm9MY3fH8,9
light_heavyweight,93,Black_Cat,Bard,Radiant Finale,212000-212624.png,6,听澜,3235.872905275552,CN,,False,388.289,"Astrologian,DarkKnight,DarkKnight,Dragoon,LimitBreak,Ninja,Pictomancer,Scholar",49zQpqGHLmfkwW6y,15
light_heavyweight,93,Black_Cat,Bard,Radiant Finale,212000-212624.png,7,奈奈伊,3235.55470498666,CN,,False,389.57,"Astrologian,DarkKnight,DarkKnight,Dragoon,LimitBreak,Ninja,Pictomancer,Scholar",hmL3J8vdaDKpH12r,1
light_heavyweight,93,Black_Cat,Bard,Radiant Finale,212000-212624.png,8,Player (4),3235.55470498666,,,False,389.57,"Astrologian,DarkKnight,DarkKnight,Dragoon,LimitBreak,Ninja,Pictomancer,Scholar",a:hVLGHyYmDXvqJRnk,1
light_heavyweight,93,Black_Cat,Bard,Radiant Finale,212000-212624.png,9,萝卜·,3232.761544869183,CN,,False,390.247,"Astrologian,DarkKnight,DarkKnight,LimitBreak,Ninja,Pictomancer,Samurai,Scholar",XKDYRw3C9yHBmjNq,4
light_heavyweight,93,Black_Cat,Bard,Radiant Finale,212000-212624.png,10,Vivi Vi,3231.2679196846043,JP,,False,389.266,"Astrologian,DarkKnight,DarkKnight,Dragoon,LimitBreak,Ninja,Pictomancer,Scholar",JvC41bMBg3k8FLNt,86
light_heavyweight,93,Black_Cat,Bard,Radiant Finale,212000-212624.png,11,Suzy Verbena,3230.4698592445675,JP,Tiamat,True,390.055,"Astrologian,DarkKnight,DarkKnight,Dragoon,LimitBreak,Ninja,Pictomancer,Scholar",Zhad6KDpfnm7q1PQ,41
light_heavyweight,93,Black_Cat,Bard,Radiant Finale,212000-212624.png,12,Legelly Xxx,3226.2650398714145,JP,,False,397.451,"Astrologian,DarkKnight,DarkKnight,LimitBreak,Ninja,Pictomancer,Samurai,Scholar",N4gPhHVJd8xzna7L,40
light_heavyweight,93,Black_Cat,Bard,Radiant Finale,212000-212624.png,13,엘리큐르,3225.0259637748686,KR,,False,391.132,"Astrologian,DarkKnight,DarkKnight,Dragoon,LimitBreak,Ninja,Pictomancer,Scholar",Nda8HgnztjF49rxp,4
light_heavyweight,93,Black_Cat,Bard,Radiant Finale,212000-212624.png,14,Yurii Himura,3221.920282764077,NA,,False,387.027,"Astrologian,DarkKnight,DarkKnight,LimitBreak,Monk,Ninja,Pictomancer,Scholar",D7G8QPwqnmLc9M3f,14
light_heavyweight,93,Black_Cat,Bard,Radiant Finale,212000-212624.png,15,瘾梨,3218.0407588285693,CN,,False,390.847,"Astrologian,DarkKnight,DarkKnight,LimitBreak,Ninja,Pictomancer,Samurai,Scholar",JfPg2Dk78Y9HKWwz,2
light_heavyweight,93,Black_Cat,Bard,Radiant Finale,212000-212624.png,16,Vivi Vi,3216.9218351129093,JP,Yojimbo,True,389.127,"Astrologian,DarkKnight,DarkKnight,Dragoon,LimitBreak,Ninja,Pictomancer,Scholar",JvC41bMBg3k8FLNt,94
light_heavyweight,93,Black_Cat,Bard,Radiant Finale,212000-212624.png,17,Toni Quartz,3212.902974951761,JP,,False,395.791,"Astrologian,DarkKnight,DarkKnight,LimitBreak,Ninja,Pictomancer,Samurai,Scholar",WwBGf4qtLvDnjd27,24
light_heavyweight,93,Black_Cat,Bard,Radiant Finale,212000-212624.png,18,听澜,3211.373450705766,CN,,False,392.214,"Astrologian,DarkKnight,DarkKnight,LimitBreak,Monk,Ninja,Pictomancer,Scholar",Q79G1fpKkDPqBT3J,119
light_heavyweight,93,Black_Cat,Bard,Radiant Finale,212000-212624.png,19,Player (480),3210.7434398360324,,,False,392.202,"Astrologian,DarkKnight,DarkKnight,Dragoon,LimitBreak,Ninja,Pictomancer,Scholar",a:j1Hx89LpWg2DmYJ6,52
light_heavyweight,93,Black_Cat,Bard,Radiant Finale,212000-212624.png,20,Player (5),3209.043747765375,,,False,394.098,"Astrologian,DarkKnight,DarkKnight,Dragoon,LimitBreak,Ninja,Pictomancer,Scholar",a:WqBkJR2Fxb1yA9Ga,35
light_heavyweight,93,Black_Cat,Bard,Battle Voice,212000-212601.png,1,Soren Kuroyuri,3429.223849770611,NA,Zalera,True,386.841,"Astrologian,DarkKnight,DarkKnight,LimitBreak,Monk,Ninja,Pictomancer,Scholar",krDtVPmNZJwTxXQA,18
light_heavyweight,93,Black_Cat,Bard,Battle Voice,212000-212601.png,2,Player (13),3423.7643506970076,,,False,392.698,"Astrologian,DarkKnight,DarkKnight,LimitBreak,Monk,Ninja,Pictomancer,Scholar",a:L732XpJwnxhNRFj8,7
light_heavyweight,93,Black_Cat,Bard,Battle Voice,212000-212601.png,3,猫小七,3423.7643506970076,CN,海猫茶屋,True,392.698,"Astrologian,DarkKnight,DarkKnight,LimitBreak,Monk,Ninja,Pictomancer,Scholar",DxNGnCcJAa6dTFk4,7
light_heavyweight,93,Black_Cat,Bard,Battle Voice,212000-212601.png,4,听澜,3417.2645700405906,CN,,False,388.289,"Astrologian,DarkKnight,DarkKnight,Dragoon,LimitBreak,Ninja,Pictomancer,Scholar",49zQpqGHLmfkwW6y,15
light_heavyweight,93,Black_Cat,Bard,Battle Voice,212000-212601.png,5,Arsye Monat,3398.9688092616634,JP,Mandragora,True,388.213,"Astrologian,DarkKnight,DarkKnight,Dragoon,LimitBreak,Ninja,Pictomancer,Scholar",WV9XPtp2CNYghdM3,51
light_heavyweight,93,Black_Cat,Bard,Battle Voice,212000-212601.png,6,瘾梨,3384.75088730874,CN,,False,386.559,"Astrologian,DarkKnight,DarkKnight,LimitBreak,Ninja,Pictomancer,Samurai,Scholar",dHbknwMK1LzFjD7Y,1
light_heavyweight,93,Black_Cat,Bard,Battle Voice,212000-212601.png,7,恋和春,3372.645116531549,CN,宇宙和音,True,398.391,"Astrologian,DarkKnight,DarkKnight,Dragoon,LimitBreak,Ninja,Pictomancer,Scholar",cZWTb2kV7YhqJHC1,14
light_heavyweight,93,Black_Cat,Bard,Battle Voice,212000-212601.png,8,Suzy Verbena,3350.1714683657306,JP,Tiamat,True,392.389,"Astrologian,DarkKnight,DarkKnight,Dragoon,LimitBreak,Ninja,Pictomancer,Scholar",Zhad6KDpfnm7q1PQ,68
light_heavyweight,93,Black_Cat,Bard,Battle Voice,212000-212601.png,9,Soren Kuroyuri,3346.6052544412755,NA,,False,387.771,"Astrologian,DarkKnight,DarkKnight,LimitBreak,Monk,Ninja,Pictomancer,Scholar",D7G8QPwqnmLc9M3f,48
light_heavyweight,93,Black_Cat,Bard,Battle Voice,212000-212601.png,10,Ritsu Maxia,3343.814511390369,JP,Durandal,True,388.469,"Astrologian,DarkKnight,DarkKnight,LimitBreak,Monk,Ninja,Pictomancer,Scholar",xGvrmfCH9jzaMBpw,20
light_heavyweight,93,Black_Cat,Bard,Battle Voice,212000-212601.png,11,Aki Yuzuka,3334.915934326319,EU,Omega,True,394.633,"Astrologian,DarkKnight,DarkKnight,Dragoon,LimitBreak,Ninja,Pictomancer,Scholar",M8NYn3zjrxPL42cd,9
light_heavyweight,93,Black_Cat,Bard,Battle Voice,212000-212601.png,12,시츄,3309.3311252640888,KR,,False,392.192,"Astrologian,DarkKnight,DarkKnight,Dragoon,LimitBreak,Ninja,Pictomancer,Scholar",nx9Dthyw8zpWCY4Q,24
light_heavyweight,93,Black_Cat,Bard,Battle Voice,212000-212601.png,13,Player (27),3301.966846678092,,,False,397.771,"Astrologian,DarkKnight,DarkKnight,Dragoon,LimitBreak,Ninja,Pictomancer,Scholar",a:9VZwCbg1AaPFz8GD,9
light_heavyweight,93,Black_Cat,Bard,Battle Voice,212000-212601.png,14,阿爾啵啵特,3301.966846678092,CN,,False,397.771,"Astrologian,DarkKnight,DarkKnight,Dragoon,LimitBreak,Ninja,Pictomancer,Scholar",aAFDMjPgkbmNT9xt,9
light_heavyweight,93,Black_Cat,Bard,Battle Voice,212000-212601.png,15,Yurii Himura,3301.1661137042865,NA,,False,394.652,"Astrologian,DarkKnight,DarkKnight,Dragoon,Ninja,Pictomancer,Scholar",ftmpMzW3DPcQk8ZX,12
light_heavyweight,93,Black_Cat,Bard,Battle Voice,212000-212601.png,16,엘리큐르,3297.1042857722787,KR,,False,390.929,"Astrologian,DarkKnight,DarkKnight,Dragoon,LimitBreak,Ninja,Pictomancer,Scholar",3AZx2CytkDbrnXgJ,2
light_heavyweight,93,Black_Cat,Bard,Battle Voice,212000-212601.png,17,Player (15),3294.032034498965,,,False,390.605,"Astrologian,DarkKnight,DarkKnight,Dragoon,LimitBreak,Ninja,Pictomancer,Scholar",a:HF79M2nP3LyqtdhQ,7
light_heavyweight,93,Black_Cat,Bard,Battle Voice,212000-212601.png,18,奈奈伊,3292.634010561632,CN,,False,395.664,"Astrologian,DarkKnight,DarkKnight,Dragoon,LimitBreak,Ninja,Pictomancer,Scholar",6kHypx3LV14tzfKm,1
light_heavyweight,93,Black_Cat,Bard,Battle Voice,212000-212601.png,19,玩少,3287.8525236712617,CN,拉诺西亚,True,403.437,"Astrologian,DarkKnight,DarkKnight,LimitBreak,Ninja,Pictomancer,Samurai,Scholar",qxM9yzBfHN1pkQdb,30
light_heavyweight,93,Black_Cat,Bard,Battle Voice,212000-212601.png,20,Vivi Vi,3284.156842898118,JP,,False,394.434,"Astrologian,DarkKnight,DarkKnight,Dragoon,LimitBreak,Ninja,Pictomancer,Scholar",fYxHwj8npBkXZJ6g,3
light_heavyweight,93,Black_Cat,Bard,The Wanderer's Minuet,212000-212610.png,1,萝卜·,1046.2131963021461,CN,,False,390.247,"Astrologian,DarkKnight,DarkKnight,LimitBreak,Ninja,Pictomancer,Samurai,Scholar",XKDYRw3C9yHBmjNq,4
light_heavyweight,93,Black_Cat,Bard,The Wanderer's Minuet,212000-212610.png,2,Player (4),1029.137448148514,,,False,396.669,"Astrologian,DarkKnight,DarkKnight,LimitBreak,Ninja,Pictomancer,Samurai,Scholar",a:PbCzXrJKMZvhg24Q,1
light_heavyweight,93,Black_Cat,Bard,The Wanderer's Minuet,212000-212610.png,3,算了吧,1029.137448148514,CN,,False,396.669,"Astrologian,DarkKnight,DarkKnight,LimitBreak,Ninja,Pictomancer,Samurai,Scholar",LRVmvx9b1nfgjh8A,1
light_heavyweight,93,Black_Cat,Bard,The Wanderer's Minuet,212000-212610.png,4,Ritsu Maxia,1010.8119891586493,JP,,False,386.775,"Astrologian,DarkKnight,DarkKnight,LimitBreak,Monk,Ninja,Pictomancer,Scholar",Q4ctDrXCBJRkAqTK,6
light_heavyweight,93,Black_Cat,Bard,The Wanderer's Minuet,212000-212610.png,5,Flora Belle,1009.7961865848254,NA,,False,410.331,"Astrologian,DarkKnight,DarkKnight,Ninja,Pictomancer,Scholar,Viper",4JCf7WYzPtnRgxb8,54
light_heavyweight,93,Black_Cat,Bard,The Wanderer's Minuet,212000-212610.png,6,Nevren Niht,1004.7110079549086,NA,Malboro,True,398.687,"Astrologian,DarkKnight,DarkKnight,LimitBreak,Ninja,Pictomancer,Samurai,Scholar",Yb69hxRyCtdqjHgT,22
light_heavyweight,93,Black_Cat,Bard,The Wanderer's Minuet,212000-212610.png,7,Vivi Vi,1004.2804921693103,JP,,False,396.105,"Astrologian,DarkKnight,DarkKnight,LimitBreak,Ninja,Pictomancer,Samurai,Scholar",t92rRyhxqk6W43vZ,30
light_heavyweight,93,Black_Cat,Bard,The Wanderer's Minuet,212000-212610.png,8,Motoaki Tanigo,1001.5559401041486,EU,,False,395.573,"Astrologian,DarkKnight,Dragoon,LimitBreak,Ninja,Paladin,Pictomancer,Scholar",g8tHqvZaA3zRx47y,24
light_heavyweight,93,Black_Cat,Bard,The Wanderer's Minuet,212000-212610.png,9,瘾梨,998.3108465297711,CN,,False,386.559,"Astrologian,DarkKnight,DarkKnight,LimitBreak,Ninja,Pictomancer,Samurai,Scholar",dHbknwMK1LzFjD7Y,1
